parcela,tipo
p143,"suelo, herbáceas, no edificado ni cubierto"
p144,edificación erguida
p145,edificación erguida
p146,"pavimentado, acerado (bordes edificios, bancos, postes)"
p147,"pavimentado, acerado (bordes edificios, bancos, postes)"
p148,"pavimentado, acerado (bordes edificios, bancos, postes)"
p149,dosel
p150,dosel
p151,"pavimentado, acerado (bordes edificios, bancos, postes)"
p152,"pavimentado, acerado (bordes edificios, bancos, postes)"
p153,edificación erguida
p154,edificación erguida
p155,dosel
p156,"pavimentado, acerado (bordes edificios, bancos, postes)"
p157,"pavimentado, acerado (bordes edificios, bancos, postes)"
p158,"suelo, herbáceas, no edificado ni cubierto"
p159,"suelo, herbáceas, no edificado ni cubierto"
p160,"suelo, herbáceas, no edificado ni cubierto"
p161,edificación erguida
p162,edificación erguida
p163,"pavimentado, acerado (bordes edificios, bancos, postes)"
p164,dosel
p165,edificación erguida
p166,edificación erguida
p167,"pavimentado, acerado (bordes edificios, bancos, postes)"
p168,"suelo, herbáceas, no edificado ni cubierto"
p169,"pavimentado, acerado (bordes edificios, bancos, postes)"
p170,"suelo, herbáceas, no edificado ni cubierto"
p171,"suelo, herbáceas, no edificado ni cubierto"
p172,edificación erguida
p173,dosel
p174,dosel
p175,dosel
p176,edificación erguida
p177,edificación erguida
p178,"pavimentado, acerado (bordes edificios, bancos, postes)"
p179,"pavimentado, acerado (bordes edificios, bancos, postes)"
p180,"pavimentado, acerado (bordes edificios, bancos, postes)"
p181,edificación erguida
p182,"suelo, herbáceas, no edificado ni cubierto"
p183,"pavimentado, acerado (bordes edificios, bancos, postes)"
p184,edificación erguida
p185,edificación erguida
p186,edificación erguida
p187,"pavimentado, acerado (bordes edificios, bancos, postes)"
p188,edificación erguida
p189,edificación erguida
