codigomuestra,parcela,usuarionid,fechacreacionnid,fechaenvionid,idodknidos,horainicio,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones,tipo,riqueza
P42M1,p42,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:12Z,2019-09-26T21:15:12Z,uuid:73cef216-6e58-421c-be25-020b81c26af4,5.02 pm,-69.9190772697,18.4628429485,0,0,Parque de arte,1a5,no hay a la vista,1a5,2019-09-26T00:00:00Z,NULL,NULL,Hierba,uuid:73cef216-6e58-421c-be25-020b81c26af4,"eagv,dgb",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:58Z,2019-10-02T14:17:58Z,uuid:956856ca-c4c7-4bed-9246-571c326fb4c8,2019-10-02,dgb,NULL,uuid:956856ca-c4c7-4bed-9246-571c326fb4c8,solenopsissp,"suelo, herbáceas, no edificado ni cubierto",1
P42M2,p42,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T21:15:12Z,2019-09-26T21:15:12Z,uuid:2b809de4-0b49-46c7-a180-28f7fddfe0b3,5.17 pm,-69.9196194112,18.462867436,0,0,Helsderia bom,1a5,no hay a la vista,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:2b809de4-0b49-46c7-a180-28f7fddfe0b3,"dgb,eagv",uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:58Z,2019-10-02T14:17:58Z,uuid:4b3bca7b-b32a-4d12-93d3-de7b297b0b5d,2019-10-02,dgb,NULL,uuid:4b3bca7b-b32a-4d12-93d3-de7b297b0b5d,dorymyrmexsp,"suelo, herbáceas, no edificado ni cubierto",1
PN42M1,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:06:57Z,2019-09-26T22:06:57Z,uuid:93d18478-0b3f-4da8-8536-f641232701a1,5.30 pm,-69.9196063355,18.4628537611,0,0,Helado bon,1a5,no hay a la vista,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:93d18478-0b3f-4da8-8536-f641232701a1,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T15:21:16Z,2019-10-02T15:21:16Z,uuid:96b215fd-0a6f-4f96-9e18-8582205aca2a,2019-10-02,eagv,NULL,uuid:96b215fd-0a6f-4f96-9e18-8582205aca2a,"monomoriumsp,solenopsissp","suelo, herbáceas, no edificado ni cubierto",2
PN42M2,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:06:57Z,2019-09-26T22:06:57Z,uuid:8d95c735-c34f-4095-b28f-30f3f4397da1,5.45 pm,-69.9195852131,18.462736094,0,0,NULL,1a5,no hay a la vista,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:8d95c735-c34f-4095-b28f-30f3f4397da1,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:17227113-7725-4f02-bbd3-1e1aadf8f084,2019-10-02,eagv,NULL,uuid:17227113-7725-4f02-bbd3-1e1aadf8f084,solenopsissp,"suelo, herbáceas, no edificado ni cubierto",1
PN42M3,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:06:57Z,2019-09-26T22:06:57Z,uuid:41ebaba0-b192-4fd0-9773-420d087dbde7,5.45 pm,-69.9195345864,18.4626457765,0,0,NULL,1a5,1a5,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:41ebaba0-b192-4fd0-9773-420d087dbde7,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T14:55:52Z,2019-10-02T14:55:52Z,uuid:4389ecc0-2d00-429f-a094-75203825a38a,2019-10-02,eagv,NULL,uuid:4389ecc0-2d00-429f-a094-75203825a38a,solenopsissp,"suelo, herbáceas, no edificado ni cubierto",1
PN42M4,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:06:57Z,2019-09-26T22:06:57Z,uuid:64edbc6a-f69b-4230-92c8-50e6a4e082db,6.00 pm,-69.9194373563,18.4627628076,0,0,NULL,1a5,no hay a la vista,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:64edbc6a-f69b-4230-92c8-50e6a4e082db,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:4809e5b2-999d-4f21-b74e-bbbdff0db35e,2019-10-02,eagv,NULL,uuid:4809e5b2-999d-4f21-b74e-bbbdff0db35e,paratrechinasp,"suelo, herbáceas, no edificado ni cubierto",1
PN21M1,p21,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:26:31Z,2019-09-26T22:26:31Z,uuid:f6bc8b88-bb54-42eb-b55d-60781e7868c2,6.13 pm,-69.9174088519,18.4633430745,-2,3,Área del comedor,1a5,no hay a la vista,1a5,2019-09-26T00:00:00Z,NULL,NULL,Hierbas,uuid:f6bc8b88-bb54-42eb-b55d-60781e7868c2,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:38Z,2019-10-02T16:29:38Z,uuid:02692c86-9866-4380-bae8-5c7658934b57,2019-10-02,eagv,NULL,uuid:02692c86-9866-4380-bae8-5c7658934b57,solenopsissp,edificación erguida,1
PN21M2,p21,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:26:31Z,2019-09-26T22:26:31Z,uuid:6cfd769f-9ebb-4c9d-9202-cb523ca32ba1,6.24 pm,-69.9173644278,18.4634356108,-16,4,Área del comedor,1a5,no hay a la vista,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:6cfd769f-9ebb-4c9d-9202-cb523ca32ba1,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:9ea67257-64e2-47af-9718-b41b5f4bcfdb,2019-10-02,eagv,NULL,uuid:9ea67257-64e2-47af-9718-b41b5f4bcfdb,monomoriumsp,edificación erguida,1
PN22M1,p22,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:26:31Z,2019-09-26T22:26:31Z,uuid:20a326c5-e98d-403e-b7b0-41fe75f0856f,6.30 pm,-69.91723652,18.4633837268,-9,3,Área del comedor,1a5,no hay a la vista,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:20a326c5-e98d-403e-b7b0-41fe75f0856f,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:a996f1a9-fe0b-423b-ba86-8f32dfac98d3,2019-10-02,eagv,NULL,uuid:a996f1a9-fe0b-423b-ba86-8f32dfac98d3,monomoriumsp,edificación erguida,1
PN166M1,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:12Z,2019-10-15T18:29:12Z,uuid:68d250ed-a498-4d69-94de-1bee779d9a2d,10.00 am,-69.9167199433,18.4597784881,0,0,Facultad de ciencias,6a9,6a9,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:68d250ed-a498-4d69-94de-1bee779d9a2d,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:18Z,2019-10-17T21:24:18Z,uuid:4d6de643-e0ab-406a-b6d7-9de7bc42bb18,2019-10-17,eagv,NULL,uuid:4d6de643-e0ab-406a-b6d7-9de7bc42bb18,paratrechinasp,edificación erguida,1
